Tarih,Sayı,Yıl

2012-01,1,2012
2012-02,1,2012
2012-03,1,2012
2012-04,1,2012
2012-05,1,2012
2012-06,1,2012
2012-07,1,2012
2012-08,1,2012
2012-09,1,2012
2012-10,1,2012
2012-11,1,2012
2012-12,1,2012
2013-01,1,2013
2013-02,1,2013
2013-03,1,2013
2013-04,1,2013
2013-05,1,2013
2013-06,1,2013
2013-07,1,2013
2013-08,1,2013
2013-09,1,2013
2013-10,1,2013
2013-11,1,2013
2013-12,1,2013
2014-01,1,2014
2014-02,2,2014
2014-03,1,2014
2014-04,1,2014
2014-05,1,2014
2014-06,1,2014
2014-07,1,2014
2014-08,1,2014
2014-09,2,2014
2014-10,2,2014
2014-11,2,2014
2014-12,2,2014
2015-01,2,2015
2015-02,2,2015
2015-03,3,2015
2015-04,3,2015
2015-05,3,2015
2015-06,3,2015
2015-07,4,2015
2015-08,4,2015
2015-09,4,2015
2015-10,3,2015
2015-11,4,2015
2015-12,4,2015
2016-01,5,2016
2016-02,6,2016
2016-03,4,2016
2016-04,4,2016
2016-05,5,2016
2016-06,5,2016
2016-07,10,2016
2016-08,5,2016
2016-09,5,2016
2016-10,4,2016
2016-11,10,2016
2016-12,16,2016
2017-01,19,2017
2017-02,15,2017
2017-03,12,2017
2017-04,9,2017
2017-05,8,2017
2017-06,8,2017
2017-07,10,2017
2017-08,10,2017
2017-09,10,2017
2017-10,11,2017
2017-11,12,2017
2017-12,11,2017
2018-01,11,2018
2018-02,10,2018
2018-03,11,2018
2018-04,11,2018
2018-05,24,2018
2018-06,18,2018
2018-07,19,2018
2018-08,100,2018
2018-09,33,2018
2018-10,29,2018
2018-11,22,2018
2018-12,17,2018
2019-01,18,2019
2019-02,15,2019
2019-03,23,2019
2019-04,29,2019
2019-05,32,2019
2019-06,24,2019
2019-07,25,2019
2019-08,26,2019
2019-09,22,2019
2019-10,26,2019
2019-11,17,2019
2019-12,18,2019
