Hafta,Sayı,Ay

2020-01-05,44,1
2020-01-12,50,1
2020-01-19,46,1
2020-01-26,46,1
2020-02-02,50,2
2020-02-09,47,2
2020-02-16,60,2
2020-02-23,46,2
2020-03-01,50,3
2020-03-08,49,3
2020-03-15,35,3
2020-03-22,37,3
2020-03-29,37,3
2020-04-05,34,4
2020-04-12,37,4
2020-04-19,38,4
2020-04-26,44,4
2020-05-03,43,5
2020-05-10,58,5
2020-05-17,52,5
2020-05-24,65,5
2020-05-31,100,5
2020-06-07,89,6
2020-06-14,72,6
2020-06-21,74,6
2020-06-28,81,6
2020-07-05,81,7
2020-07-12,71,7
2020-07-19,67,7
2020-07-26,67,7
2020-08-02,71,8
2020-08-09,60,8
2020-08-16,59,8
2020-08-23,58,8
2020-08-30,64,8
2020-09-06,56,9
2020-09-13,62,9
2020-09-20,61,9
2020-09-27,46,9
2020-10-04,46,10
2020-10-11,50,10
2020-10-18,54,10
2020-10-25,51,10
2020-11-01,63,11
