Ay,Sayı

2013-01,3
2013-02,3
2013-03,2
2013-04,4
2013-05,4
2013-06,3
2013-07,4
2013-08,4
2013-09,6
2013-10,4
2013-11,4
2013-12,3
2014-01,6
2014-02,4
2014-03,4
2014-04,4
2014-05,4
2014-06,3
2014-07,4
2014-08,4
2014-09,4
2014-10,5
2014-11,5
2014-12,6
2015-01,5
2015-02,5
2015-03,5
2015-04,5
2015-05,9
2015-06,5
2015-07,5
2015-08,5
2015-09,4
2015-10,4
2015-11,6
2015-12,5
2016-01,5
2016-02,5
2016-03,5
2016-04,5
2016-05,5
2016-06,4
2016-07,22
2016-08,22
2016-09,16
2016-10,17
2016-11,29
2016-12,25
2017-01,19
2017-02,58
2017-03,25
2017-04,23
2017-05,19
2017-06,19
2017-07,21
2017-08,20
2017-09,29
2017-10,28
2017-11,25
2017-12,21
2018-01,26
2018-02,34
2018-03,29
2018-04,23
2018-05,26
2018-06,23
2018-07,24
2018-08,19
2018-09,30
2018-10,34
2018-11,70
2018-12,27
2019-01,26
2019-02,11
2019-03,21
2019-04,16
2019-05,34
2019-06,46
2019-07,48
2019-08,22
2019-09,21
2019-10,20
2019-11,21
2019-12,22
2020-01,34
2020-02,37
2020-03,28
2020-04,14
2020-05,35
2020-06,100
