Ay, Sayı

2013-01,32
2013-02,9
2013-03,15
2013-04,8
2013-05,0
2013-06,16
2013-07,8
2013-08,8
2013-09,0
2013-10,8
2013-11,0
2013-12,7
2014-01,21
2014-02,7
2014-03,7
2014-04,0
2014-05,10
2014-06,8
2014-07,8
2014-08,11
2014-09,0
2014-10,0
2014-11,7
2014-12,0
2015-01,20
2015-02,14
2015-03,12
2015-04,6
2015-05,13
2015-06,6
2015-07,6
2015-08,0
2015-09,0
2015-10,6
2015-11,12
2015-12,9
2016-01,15
2016-02,15
2016-03,10
2016-04,0
2016-05,6
2016-06,13
2016-07,11
2016-08,7
2016-09,7
2016-10,0
2016-11,6
2016-12,10
2017-01,17
2017-02,10
2017-03,19
2017-04,10
2017-05,6
2017-06,11
2017-07,9
2017-08,9
2017-09,17
2017-10,13
2017-11,16
2017-12,14
2018-01,15
2018-02,13
2018-03,12
2018-04,15
2018-05,9
2018-06,6
2018-07,13
2018-08,32
2018-09,0
2018-10,13
2018-11,6
2018-12,10
2019-01,100
2019-02,10
2019-03,6
2019-04,30
2019-05,27
2019-06,12
2019-07,9
2019-08,99
2019-09,28
2019-10,12
2019-11,9
2019-12,13
2020-01,25
2020-02,15
2020-03,12
2020-04,8
2020-05,15
2020-06,14
